Site Code,Well ID,Datetime,Status,Oil (bbl),Gas (mcf),Water (bbl),BOE (bbl)
S05,W0010,2025-08-27,ACTIVE,606.25,3226.11,326.44,1143.94
S05,W0010,2025-08-28,ACTIVE,659.37,2641.55,355.13,1099.63
S05,W0010,2025-08-29,ACTIVE,619.42,3082.18,333.7,1133.12
S05,W0010,2025-08-30,ACTIVE,667.48,2996.37,359.67,1166.88
S05,W0010,2025-08-31,ACTIVE,616.26,3651.4,332.15,1224.83
S05,W0010,2025-09-01,ACTIVE,592.33,3232.92,319.33,1131.15
S05,W0010,2025-09-02,ACTIVE,706.1,3169.91,380.76,1234.42
S05,W0010,2025-09-03,ACTIVE,642.68,3405.33,346.64,1210.23
S05,W0010,2025-09-04,ACTIVE,583.21,3171.85,314.64,1111.85
S05,W0010,2025-09-05,ACTIVE,582.36,3460.55,314.26,1159.12
S05,W0010,2025-09-06,ACTIVE,647.5,3133.5,349.49,1169.75
S05,W0010,2025-09-07,ACTIVE,592.92,3375.91,320.11,1155.57
S05,W0010,2025-09-08,ACTIVE,636.23,2549.3,343.58,1061.11
S05,W0010,2025-09-09,ACTIVE,579.83,2936.85,313.19,1069.31
S05,W0010,2025-09-11,ACTIVE,585.08,2919.8,316.18,1071.71
S05,W0010,2025-09-12,ACTIVE,684.27,2905.12,369.87,1168.46
S05,W0010,2025-09-13,ACTIVE,613.36,3140.38,331.63,1136.76
S05,W0010,2025-09-14,ACTIVE,547.4,2615.51,296.03,983.32
S05,W0010,2025-09-15,ACTIVE,645.15,3144.14,348.98,1169.17
S05,W0010,2025-09-16,ACTIVE,669.56,3634.8,362.27,1275.36
S05,W0010,2025-09-17,ACTIVE,699.54,3006.36,378.58,1200.6
S05,W0010,2025-09-18,ACTIVE,631.99,3331.62,342.11,1187.26
S05,W0010,2025-09-19,ACTIVE,643.08,3249.81,348.2,1184.72
S05,W0010,2025-09-20,ACTIVE,579.53,3328.07,313.86,1134.21
S05,W0010,2025-09-21,ACTIVE,594.67,3170.62,322.14,1123.11
S05,W0010,2025-09-22,ACTIVE,574.92,3177.46,311.52,1104.5
S05,W0010,2025-09-23,ACTIVE,574.98,3146.09,311.62,1099.33
S05,W0010,2025-09-24,ACTIVE,632.17,3097.5,342.7,1148.42
S05,W0010,2025-09-25,ACTIVE,579.72,2921.73,314.34,1066.68
S05,W0010,2025-09-26,ACTIVE,585.3,3126.5,317.44,1106.38
S05,W0010,2025-09-27,ACTIVE,584.92,2876.53,317.31,1064.34
S05,W0010,2025-09-28,ACTIVE,578.82,2884.66,314.08,1059.6
S05,W0010,2025-09-29,ACTIVE,611.7,2951.99,332,1103.7
S05,W0010,2025-09-30,ACTIVE,615.13,3404.8,333.94,1182.6
S05,W0010,2025-10-01,ACTIVE,579.63,3260.35,314.75,1123.02
S05,W0010,2025-10-02,ACTIVE,685.17,3032.75,372.14,1190.63
S05,W0010,2025-10-03,ACTIVE,587.18,3112.88,319,1105.99
S05,W0010,2025-10-04,ACTIVE,604.54,3276.84,328.51,1150.68
S05,W0010,2025-10-05,ACTIVE,624.79,2740.41,339.59,1081.52
S05,W0010,2025-10-06,ACTIVE,592.72,3052.28,322.24,1101.43
S05,W0010,2025-10-07,ACTIVE,632.13,3188.13,343.75,1163.49
S05,W0010,2025-10-08,ACTIVE,584.93,3080.71,318.16,1098.38
S05,W0010,2025-10-09,ACTIVE,597.98,3160.44,325.34,1124.72
S05,W0010,2025-10-10,ACTIVE,619.5,3528.74,337.13,1207.62
S05,W0010,2025-10-11,ACTIVE,650.67,2996.51,354.17,1150.09
S05,W0010,2025-10-12,ACTIVE,646.29,3421.1,351.87,1216.47
S05,W0010,2025-10-13,ACTIVE,569.1,3382.79,309.92,1132.9
S05,W0010,2025-10-14,ACTIVE,558.67,2967.85,304.31,1053.31
S05,W0010,2025-10-15,ACTIVE,608.62,3108.68,331.6,1126.73
S05,W0010,2025-10-16,ACTIVE,606.61,2987.27,330.59,1104.49
S05,W0010,2025-10-17,ACTIVE,595.41,2979.13,324.56,1091.93
S05,W0010,2025-10-18,ACTIVE,640.4,3018.75,349.17,1143.53
S05,W0010,2025-10-19,ACTIVE,543.91,2901.29,296.63,1027.46
S05,W0010,2025-10-21,ACTIVE,559.25,3169.08,305.14,1087.43
S05,W0010,2025-10-22,ACTIVE,634.03,3089.6,346.02,1148.96
S05,W0010,2025-10-23,ACTIVE,618.02,2728.13,337.37,1072.71
S05,W0010,2025-10-24,ACTIVE,629.57,3194.48,343.76,1161.98
S05,W0010,2025-10-25,ACTIVE,563.74,2814.86,307.89,1032.88
S05,W0010,2025-10-26,ACTIVE,648.2,2948.79,354.1,1139.67
S05,W0010,2025-10-27,ACTIVE,623.86,3346.6,340.89,1181.63
S05,W0010,2025-10-28,ACTIVE,647.76,3090.64,354.03,1162.87
S05,W0010,2025-10-29,ACTIVE,538.05,3339.69,294.14,1094.67
S05,W0010,2025-10-30,ACTIVE,627.41,3129.3,343.07,1148.96
S05,W0010,2025-10-31,ACTIVE,523.22,2938.22,286.17,1012.92
S05,W0010,2025-11-01,ACTIVE,581.92,3183.12,318.35,1112.44
S05,W0010,2025-11-02,ACTIVE,585.47,3275.1,320.37,1131.32
S05,W0010,2025-11-03,ACTIVE,617.48,2984.21,337.97,1114.85
S05,W0010,2025-11-04,ACTIVE,621.22,2859.25,340.1,1097.76
S05,W0010,2025-11-05,ACTIVE,565.3,2810.26,309.56,1033.68
S05,W0010,2025-11-06,ACTIVE,586.1,2903.56,321.02,1070.03
S05,W0010,2025-11-07,ACTIVE,614.53,2964.31,336.68,1108.58
S05,W0010,2025-11-08,ACTIVE,608.05,3079.41,333.2,1121.28
S05,W0010,2025-11-09,ACTIVE,562.31,2750.47,308.21,1020.72
S05,W0010,2025-11-10,ACTIVE,646.55,2943.99,354.47,1137.21
S05,W0010,2025-11-11,ACTIVE,589.58,2767.17,323.32,1050.78
S05,W0010,2025-11-12,ACTIVE,635.53,2886.33,348.6,1116.59
S05,W0010,2025-11-14,ACTIVE,633.8,3502,347.82,1217.47
S05,W0010,2025-11-15,ACTIVE,613.19,3343.53,336.58,1170.45
S05,W0010,2025-11-16,ACTIVE,577.34,2996.27,316.98,1076.72
S05,W0010,2025-11-17,ACTIVE,577.08,3183.82,316.91,1107.72
S05,W0010,2025-11-18,ACTIVE,607.29,2823.7,333.58,1077.91
S05,W0010,2025-11-19,ACTIVE,657.74,3383.57,361.38,1221.67
S05,W0010,2025-11-20,ACTIVE,559.18,2978.77,307.3,1055.64
S05,W0010,2025-11-22,ACTIVE,580.39,2693.6,319.12,1029.32
S05,W0010,2025-11-23,ACTIVE,634.51,3172.75,348.96,1163.3
S05,W0010,2025-11-24,ACTIVE,550.28,3176.25,302.71,1079.66
S05,W0010,2025-11-25,ACTIVE,624.42,3069.95,343.57,1136.08
S05,W0010,2025-11-26,ACTIVE,660.41,2880.08,363.46,1140.42
S05,W0010,2025-11-27,ACTIVE,556.86,3047.92,306.54,1064.85
S05,W0010,2025-11-28,ACTIVE,614.29,3045.51,338.24,1121.88
S05,W0010,2025-11-30,ACTIVE,633.71,3171.08,349.1,1162.22
S05,W0010,2025-12-01,ACTIVE,565.77,3208.29,311.75,1100.49
S05,W0010,2025-12-02,ACTIVE,599.51,3056.1,330.42,1108.86
S05,W0010,2025-12-03,ACTIVE,627.57,2955.16,345.97,1120.1
S05,W0010,2025-12-04,ACTIVE,589.52,3317.46,325.07,1142.43
S05,W0010,2025-12-05,ACTIVE,626.23,2967.61,345.39,1120.83
S05,W0010,2025-12-06,ACTIVE,589.31,3177.47,325.11,1118.89
S05,W0010,2025-12-07,ACTIVE,637.69,2451.33,351.88,1046.25
S05,W0010,2025-12-08,ACTIVE,564.7,3073.82,311.68,1077
S05,W0010,2025-12-09,ACTIVE,573.54,2980.69,316.63,1070.32
S05,W0010,2025-12-10,ACTIVE,556.51,2929.15,307.31,1044.7
S05,W0010,2025-12-11,ACTIVE,645.1,3059.29,356.31,1154.98
S05,W0010,2025-12-12,ACTIVE,616.43,3095.66,340.56,1132.37
S05,W0010,2025-12-13,ACTIVE,596.34,2814.32,329.54,1065.39
S05,W0010,2025-12-14,ACTIVE,662.76,3237.48,366.32,1202.34
S05,W0010,2025-12-15,ACTIVE,601.79,2954.96,332.7,1094.28
S05,W0010,2025-12-16,ACTIVE,635,2743.03,351.15,1092.17
S05,W0010,2025-12-17,ACTIVE,604.66,2990.37,334.46,1103.05
S05,W0010,2025-12-18,ACTIVE,599.51,2942.06,331.68,1089.85
S05,W0010,2025-12-19,ACTIVE,607.02,2421.87,335.92,1010.67
S05,W0010,2025-12-20,ACTIVE,666.76,2813.7,369.07,1135.71
S05,W0010,2025-12-21,ACTIVE,586.3,3082.94,324.61,1100.12
S05,W0010,2025-12-22,ACTIVE,657.44,3256.97,364.08,1200.27
S05,W0010,2025-12-23,ACTIVE,592.1,3321.35,327.98,1145.66
S05,W0010,2025-12-24,ACTIVE,649.62,2513.92,359.92,1068.61
S05,W0010,2025-12-25,ACTIVE,621.04,2864.82,344.17,1098.51
S05,W0010,2025-12-26,ACTIVE,584.06,2772.36,323.75,1046.12
S05,W0010,2025-12-27,ACTIVE,618,3053.14,342.65,1126.86
S05,W0010,2025-12-28,ACTIVE,620.84,3508.94,344.3,1205.66
S05,W0010,2025-12-29,ACTIVE,567.9,3200.37,315.02,1101.3
S05,W0010,2025-12-30,ACTIVE,563.47,2971.45,312.64,1058.71
S05,W0010,2025-12-31,ACTIVE,551.76,3025.19,306.21,1055.96
S05,W0010,2026-01-01,ACTIVE,628.52,2791.57,348.9,1093.78
S05,W0010,2026-01-02,ACTIVE,645.87,2940.24,358.62,1135.91
S05,W0010,2026-01-03,ACTIVE,582.02,2944.84,323.24,1072.83
S05,W0010,2026-01-04,ACTIVE,596.84,2951.27,335.26,1088.72
S05,W0010,2026-01-05,ACTIVE,615.42,3085.8,341.95,1129.72
S05,W0010,2026-01-06,ACTIVE,580.6,3237.3,322.68,1120.15
S05,W0010,2026-01-07,ACTIVE,641.92,3284.76,356.85,1189.38
S05,W0010,2026-01-08,ACTIVE,638.19,3094.73,354.86,1153.98
S05,W0010,2026-01-09,ACTIVE,664.74,2755.27,369.71,1123.95
S05,W0010,2026-01-10,ACTIVE,540.65,3165.98,300.76,1068.31
S05,W0010,2026-01-11,ACTIVE,664.27,3169.38,369.63,1192.5
S05,W0010,2026-01-12,ACTIVE,620.68,2879.21,345.45,1100.55
S05,W0010,2026-01-13,ACTIVE,553.23,2888.02,307.99,1034.57
S05,W0010,2026-01-14,ACTIVE,577.24,3139.24,321.43,1100.45
