Site Code,Well ID,Datetime,Status,Oil (bbl),Gas (mcf),Water (bbl),BOE (bbl)
S04,W0001,2025-08-27,ACTIVE,51.41,230.36,462.7,89.8
S04,W0001,2025-08-28,ACTIVE,46.12,239.74,416.95,86.08
S04,W0001,2025-08-29,ACTIVE,48.79,228.47,443.14,86.87
S04,W0001,2025-08-30,ACTIVE,47.51,245.87,433.5,88.49
S04,W0001,2025-08-31,ACTIVE,52.09,256.71,477.55,94.88
S04,W0001,2025-09-01,ACTIVE,49.88,232.38,459.43,88.61
S04,W0001,2025-09-02,ACTIVE,48.15,221.95,445.54,85.14
S04,W0001,2025-09-03,ACTIVE,53.35,217.91,495.94,89.67
S04,W0001,2025-09-04,ACTIVE,50.25,224.58,469.31,87.68
S04,W0001,2025-09-05,ACTIVE,51.26,257.52,481.04,94.18
S04,W0001,2025-09-06,ACTIVE,50.04,265.74,471.85,94.33
S04,W0001,2025-09-07,ACTIVE,51.92,238.33,491.9,91.64
S04,W0001,2025-09-08,ACTIVE,46.56,216.09,443.2,82.58
S04,W0001,2025-09-09,ACTIVE,50.72,209.77,485.16,85.68
S04,W0001,2025-09-10,ACTIVE,49.82,243.83,478.76,90.46
S04,W0001,2025-09-11,ACTIVE,43.22,221.15,494.14,80.08
S04,W0001,2025-09-12,ACTIVE,49.65,210.71,481.83,84.77
S04,W0001,2025-09-13,ACTIVE,50.92,238.94,496.52,90.74
S04,W0001,2025-09-14,ACTIVE,47.74,208.61,467.78,82.51
S04,W0001,2025-09-15,ACTIVE,50.68,219.66,499.02,87.29
S04,W0001,2025-09-16,ACTIVE,45.02,226.08,445.51,82.7
S04,W0001,2025-09-17,ACTIVE,43.59,211.12,433.46,78.78
S04,W0001,2025-09-18,ACTIVE,45.24,219.51,452.18,81.83
S04,W0001,2025-09-19,ACTIVE,50.62,195.56,508.47,83.21
S04,W0001,2025-09-20,ACTIVE,49.08,232.83,495.38,87.89
S04,W0001,2025-09-21,ACTIVE,46.62,207.64,472.93,81.23
S04,W0001,2025-09-22,ACTIVE,45.79,230.54,466.92,84.21
S04,W0001,2025-09-25,ACTIVE,45.72,205.01,473.3,79.89
S04,W0001,2025-09-26,ACTIVE,52.42,226.62,545.46,90.19
S04,W0001,2025-09-27,ACTIVE,48.5,196.98,507.26,81.33
S04,W0001,2025-09-28,ACTIVE,50.71,188.93,533.19,82.2
S04,W0001,2025-09-29,ACTIVE,46.06,194.88,486.84,78.54
S04,W0001,2025-09-30,ACTIVE,46.2,218.23,490.8,82.57
S04,W0001,2025-10-01,ACTIVE,47.35,211.97,505.68,82.68
S04,W0001,2025-10-02,ACTIVE,46.56,197.15,499.9,79.42
S04,W0001,2025-10-03,ACTIVE,43.91,217.34,473.93,80.13
S04,W0001,2025-10-04,ACTIVE,46.78,202.95,507.56,80.6
S04,W0001,2025-10-05,ACTIVE,45.2,215,493.08,81.03
S04,W0001,2025-10-06,ACTIVE,42.79,234.5,469.29,81.87
S04,W0001,2025-10-07,ACTIVE,46.55,203.72,513.24,80.5
S04,W0001,2025-10-08,ACTIVE,42.5,198.67,471.14,75.61
S04,W0001,2025-10-09,ACTIVE,43.22,195.92,481.7,75.87
S04,W0001,2025-10-10,ACTIVE,45.26,222.82,507.25,82.4
S04,W0001,2025-10-11,ACTIVE,43.52,205.88,490.48,77.83
S04,W0001,2025-10-12,ACTIVE,45.98,195.06,521.02,78.49
S04,W0001,2025-10-14,ACTIVE,49.64,188.17,568.79,81
S04,W0001,2025-10-15,ACTIVE,44.14,203.59,508.54,78.07
S04,W0001,2025-10-16,ACTIVE,40.16,223.64,465.24,77.43
S04,W0001,2025-10-17,ACTIVE,46.7,175.56,544.18,75.96
S04,W0001,2025-10-18,ACTIVE,40.57,195.05,475.35,73.08
S04,W0001,2025-10-19,ACTIVE,46.52,200.98,548.26,80.02
S04,W0001,2025-10-20,ACTIVE,48.41,219.88,573.72,85.06
S04,W0001,2025-10-21,ACTIVE,44.72,209.69,533.06,79.67
S04,W0001,2025-10-22,ACTIVE,46.68,195.65,559.68,79.29
S04,W0001,2025-10-23,ACTIVE,42.61,165.98,513.83,70.27
S04,W0001,2025-10-24,ACTIVE,41.25,179.14,500.38,71.11
S04,W0001,2025-10-25,ACTIVE,40.42,191.46,493.16,72.33
S04,W0001,2025-10-26,ACTIVE,40.54,195.22,497.5,73.08
S04,W0001,2025-10-27,ACTIVE,40.73,188.08,502.85,72.08
S04,W0001,2025-10-28,ACTIVE,43.52,195.37,540.49,76.08
S04,W0001,2025-10-29,ACTIVE,42.45,180.55,530.4,72.54
S04,W0001,2025-10-30,ACTIVE,41.8,209.78,525.38,76.76
S04,W0001,2025-10-31,ACTIVE,41.22,177.92,521.25,70.87
S04,W0001,2025-11-01,ACTIVE,39.96,182.55,508.3,70.39
S04,W0001,2025-11-02,ACTIVE,41.33,185.3,529.05,72.21
S04,W0001,2025-11-03,ACTIVE,41.59,197.79,535.55,74.56
S04,W0001,2025-11-04,ACTIVE,36.76,166.02,476.3,64.43
S04,W0001,2025-11-05,ACTIVE,40.94,171,533.8,69.44
S04,W0001,2025-11-06,ACTIVE,39.57,197.2,519.13,72.44
S04,W0001,2025-11-07,ACTIVE,42.29,183.14,558.28,72.81
S04,W0001,2025-11-08,ACTIVE,41.38,189.63,549.74,72.99
S04,W0001,2025-11-10,ACTIVE,38.08,160.09,512.34,64.76
S04,W0001,2025-11-11,ACTIVE,42.43,155.27,574.53,68.31
S04,W0001,2025-11-12,ACTIVE,39.3,191.31,535.61,71.19
S04,W0001,2025-11-13,ACTIVE,42.19,171.74,578.8,70.81
S04,W0001,2025-11-14,ACTIVE,38.85,178.74,536.47,68.64
S04,W0001,2025-11-15,ACTIVE,42.06,198.92,584.49,75.21
S04,W0001,2025-11-16,ACTIVE,43.44,189.49,607.7,75.02
S04,W0001,2025-11-17,ACTIVE,40.01,189.87,563.49,71.66
S04,W0001,2025-11-18,ACTIVE,42.84,200.3,607.39,76.22
S04,W0001,2025-11-19,ACTIVE,35.52,198.95,506.97,68.68
S04,W0001,2025-11-20,ACTIVE,39.6,163.04,569.04,66.77
S04,W0001,2025-11-21,ACTIVE,38.74,175.33,560.48,67.96
S04,W0001,2025-11-22,ACTIVE,41.87,174.91,609.83,71.02
S04,W0001,2025-11-23,ACTIVE,39.58,175.99,580.43,68.91
S04,W0001,2025-11-24,ACTIVE,39.26,174.15,579.73,68.29
S04,W0001,2025-11-25,ACTIVE,38.11,172.25,566.63,66.82
S04,W0001,2025-11-26,ACTIVE,41.76,185.29,625.36,72.64
S04,W0001,2025-11-27,ACTIVE,38.14,171.3,575.17,66.69
S04,W0001,2025-11-28,ACTIVE,40.03,182.74,607.85,70.49
S04,W0001,2025-11-29,ACTIVE,37.29,187.84,570.36,68.6
S04,W0001,2025-11-30,ACTIVE,42.44,149.1,653.79,67.29
S04,W0001,2025-12-01,ACTIVE,38.21,187.53,592.89,69.47
S04,W0001,2025-12-02,ACTIVE,34.28,157.25,535.75,60.49
