Site Code,Well ID,Datetime,Status,Oil (bbl),Gas (mcf),Water (bbl),BOE (bbl)
S08,W0005,2025-08-27,ACTIVE,316.07,1687.9,258.6,597.39
S08,W0005,2025-08-28,ACTIVE,329.06,1681.66,269.38,609.34
S08,W0005,2025-08-29,ACTIVE,299.67,1593.8,245.46,565.3
S08,W0005,2025-08-30,ACTIVE,322.14,1737.67,264.01,611.75
S08,W0005,2025-08-31,ACTIVE,304.26,1591.98,249.49,569.59
S08,W0005,2025-09-01,ACTIVE,328.39,1854.33,269.43,637.44
S08,W0005,2025-09-02,ACTIVE,322.6,1699.6,264.82,605.87
S08,W0005,2025-09-03,ACTIVE,279.79,1791.87,229.81,578.43
S08,W0005,2025-09-04,ACTIVE,310.57,1401.32,255.23,544.12
S08,W0005,2025-09-05,ACTIVE,344.42,1766.33,283.2,638.81
S08,W0005,2025-09-07,ACTIVE,317.94,1542.7,261.72,575.06
S08,W0005,2025-09-08,ACTIVE,324.96,1443.73,267.65,565.58
S08,W0005,2025-09-09,ACTIVE,318.41,1566.97,262.4,579.57
S08,W0005,2025-09-10,ACTIVE,306.94,1475.49,253.08,552.86
S08,W0005,2025-09-12,ACTIVE,302.88,1625.77,250.01,573.84
S08,W0005,2025-09-13,ACTIVE,321.91,1621.7,265.87,592.19
S08,W0005,2025-09-14,ACTIVE,299.8,1562.48,247.75,560.21
S08,W0005,2025-09-15,ACTIVE,309.24,1806.66,255.68,610.35
S08,W0005,2025-09-16,ACTIVE,301.25,1575.76,249.22,563.88
S08,W0005,2025-09-17,ACTIVE,325.63,1448.92,269.54,567.12
S08,W0005,2025-09-18,ACTIVE,351.22,1583.76,290.88,615.18
S08,W0005,2025-09-19,ACTIVE,317.6,1579.96,263.18,580.93
S08,W0005,2025-09-20,ACTIVE,296.82,1508.69,246.1,548.27
S08,W0005,2025-09-21,ACTIVE,309.21,1801.76,256.51,609.5
S08,W0005,2025-09-22,ACTIVE,302.6,1703.02,251.17,586.44
S08,W0005,2025-09-23,ACTIVE,314.36,1711.88,261.07,599.67
S08,W0005,2025-09-24,ACTIVE,310.89,1215.77,258.34,513.52
S08,W0005,2025-09-26,ACTIVE,322.3,1555.71,268.11,581.59
S08,W0005,2025-09-28,ACTIVE,299.82,1587.58,249.69,564.42
S08,W0005,2025-09-30,ACTIVE,308.17,1479.54,256.92,554.76
S08,W0005,2025-10-01,ACTIVE,286.68,1473,239.14,532.18
S08,W0005,2025-10-02,ACTIVE,305.83,1617.89,255.25,575.48
S08,W0005,2025-10-03,ACTIVE,324.8,1697,271.24,607.63
S08,W0005,2025-10-04,ACTIVE,339.7,1648.92,283.84,614.52
S08,W0005,2025-10-05,ACTIVE,299.25,1620.88,250.18,569.4
S08,W0005,2025-10-06,ACTIVE,337.33,1694.37,282.17,619.72
S08,W0005,2025-10-07,ACTIVE,280.16,1691.16,234.48,562.02
S08,W0005,2025-10-08,ACTIVE,327.58,1679.84,274.32,607.55
S08,W0005,2025-10-10,ACTIVE,310.84,1737.02,260.59,600.34
S08,W0005,2025-10-11,ACTIVE,334.06,1457.99,280.21,577.06
S08,W0005,2025-10-12,ACTIVE,296.67,1629.6,248.98,568.27
S08,W0005,2025-10-13,ACTIVE,275.44,1671.96,231.3,554.1
S08,W0005,2025-10-14,ACTIVE,300.37,1505.31,252.36,551.26
S08,W0005,2025-10-15,ACTIVE,316.29,1713.27,265.89,601.84
