Site Code,Well ID,Datetime,Status,Oil (bbl),Gas (mcf),Water (bbl),BOE (bbl)
S07,W0003,2025-08-27,ACTIVE,198.4,998.6,368.46,364.83
S07,W0003,2025-08-28,ACTIVE,198.32,979.57,368.76,361.58
S07,W0003,2025-08-29,ACTIVE,189.6,923.66,352.96,343.54
S07,W0003,2025-08-30,ACTIVE,170.88,970.07,318.5,332.56
S07,W0003,2025-08-31,ACTIVE,188.51,996.33,351.78,354.57
S07,W0003,2025-09-01,ACTIVE,197.71,957.14,369.4,357.23
S07,W0003,2025-09-03,ACTIVE,194.63,837.32,364.52,334.18
S07,W0003,2025-09-05,ACTIVE,189.1,987.02,355.03,353.6
S07,W0003,2025-09-06,ACTIVE,199.18,1047.63,374.39,373.79
S07,W0003,2025-09-07,ACTIVE,182.03,939.5,342.57,338.61
S07,W0003,2025-09-09,ACTIVE,191.07,867.33,360.46,335.63
S07,W0003,2025-09-10,ACTIVE,190.82,868.79,360.43,335.62
S07,W0003,2025-09-11,ACTIVE,192.26,947.18,363.58,350.12
S07,W0003,2025-09-13,ACTIVE,202.81,975.69,384.46,365.43
S07,W0003,2025-09-14,ACTIVE,181.4,953.91,344.3,340.39
S07,W0003,2025-09-15,ACTIVE,199.37,996.08,378.86,365.38
S07,W0003,2025-09-16,ACTIVE,199.33,984.63,379.24,363.44
S07,W0003,2025-09-17,ACTIVE,209.45,933.23,398.98,364.99
S07,W0003,2025-09-18,ACTIVE,193.22,1020.99,368.52,363.39
S07,W0003,2025-09-19,ACTIVE,201.35,948.5,384.48,359.43
S07,W0003,2025-09-20,ACTIVE,186.42,1015.27,356.42,355.63
S07,W0003,2025-09-21,ACTIVE,200.16,1000.79,383.14,366.96
S07,W0003,2025-09-22,ACTIVE,181.01,974.24,346.91,343.38
S07,W0003,2025-09-23,ACTIVE,195.7,976.33,375.52,358.42
S07,W0003,2025-09-24,ACTIVE,195.84,908.31,376.24,347.23
S07,W0003,2025-09-25,ACTIVE,180.83,1070.81,347.83,359.3
S07,W0003,2025-09-26,ACTIVE,167.49,1077.8,322.56,347.12
S07,W0003,2025-09-27,ACTIVE,192.71,956.08,371.59,352.06
S07,W0003,2025-09-28,ACTIVE,207.02,1150.23,399.65,398.73
S07,W0003,2025-09-29,ACTIVE,209.96,890.17,405.84,358.32
S07,W0003,2025-09-30,ACTIVE,188.34,803.36,364.49,322.23
S07,W0003,2025-10-01,ACTIVE,188,970.05,364.27,349.67
S07,W0003,2025-10-02,ACTIVE,194.7,939.37,377.72,351.26
S07,W0003,2025-10-03,ACTIVE,181.95,982.43,353.42,345.69
S07,W0003,2025-10-04,ACTIVE,195.94,891.24,381.04,344.48
S07,W0003,2025-10-05,ACTIVE,196.59,841.94,382.78,336.91
S07,W0003,2025-10-06,ACTIVE,184.22,932.04,359.13,339.56
S07,W0003,2025-10-07,ACTIVE,196.92,905.32,384.36,347.81
S07,W0003,2025-10-08,ACTIVE,188.29,961.33,367.97,348.51
S07,W0003,2025-10-09,ACTIVE,196.79,914.81,385.05,349.26
S07,W0003,2025-10-10,ACTIVE,178.78,941.48,350.23,335.69
S07,W0003,2025-10-11,ACTIVE,168.49,918.67,330.49,321.6
S07,W0003,2025-10-12,ACTIVE,182,968.13,357.43,343.36
S07,W0003,2025-10-13,ACTIVE,194.74,931.11,382.91,349.93
S07,W0003,2025-10-15,ACTIVE,168.13,873.44,331.4,313.7
S07,W0003,2025-10-16,ACTIVE,199.57,909.8,393.86,351.2
S07,W0003,2025-10-17,ACTIVE,202.36,897.64,399.85,351.97
S07,W0003,2025-10-18,ACTIVE,182.61,982.35,361.27,346.34
S07,W0003,2025-10-19,ACTIVE,175.8,1026.18,348.23,346.83
S07,W0003,2025-10-20,ACTIVE,179.42,914.92,355.84,331.91
S07,W0003,2025-10-21,ACTIVE,187.69,937.49,372.7,343.94
S07,W0003,2025-10-22,ACTIVE,185.96,912.55,369.72,338.05
S07,W0003,2025-10-23,ACTIVE,188.86,884.79,375.94,336.33
S07,W0003,2025-10-24,ACTIVE,162.72,886.64,324.3,310.49
S07,W0003,2025-10-25,ACTIVE,165.75,903.03,330.76,316.26
S07,W0003,2025-10-26,ACTIVE,185.81,1028.07,371.25,357.16
S07,W0003,2025-10-27,ACTIVE,177.01,934.16,354.1,332.7
S07,W0003,2025-10-28,ACTIVE,184.92,992.02,370.37,350.26
S07,W0003,2025-10-29,ACTIVE,149.02,945.53,298.84,306.61
S07,W0003,2025-10-30,ACTIVE,174.8,939.56,350.98,331.39
S07,W0003,2025-10-31,ACTIVE,190.11,789.06,382.18,321.62
S07,W0003,2025-11-01,ACTIVE,161.61,754.4,325.28,287.34
S07,W0003,2025-11-02,ACTIVE,201.32,931.69,405.71,356.6
S07,W0003,2025-11-03,ACTIVE,186.29,805.16,375.89,320.48
S07,W0003,2025-11-04,ACTIVE,160.65,959.46,324.56,320.56
S07,W0003,2025-11-05,ACTIVE,204.19,933.19,413.02,359.72
S07,W0003,2025-11-06,ACTIVE,182.74,966.36,370.1,343.8
S07,W0003,2025-11-07,ACTIVE,176.91,947.9,358.74,334.89
S07,W0003,2025-11-08,ACTIVE,167.71,957.54,340.51,327.3
S07,W0003,2025-11-09,ACTIVE,178.52,860.43,362.9,321.93
S07,W0003,2025-11-10,ACTIVE,191.89,958.16,390.56,351.58
S07,W0003,2025-11-11,ACTIVE,185.72,927.96,378.48,340.38
S07,W0003,2025-11-12,ACTIVE,167.68,902.98,342.14,318.18
S07,W0003,2025-11-13,ACTIVE,186.36,812.26,380.73,321.74
S07,W0003,2025-11-14,ACTIVE,179.1,783.96,366.33,309.76
S07,W0003,2025-11-15,ACTIVE,190.5,901.76,390.14,340.79
S07,W0003,2025-11-16,ACTIVE,170.07,955.78,348.74,329.37
S07,W0003,2025-11-17,ACTIVE,165.71,937.18,340.22,321.91
S07,W0003,2025-11-18,ACTIVE,155.82,869.43,320.31,300.73
S07,W0003,2025-11-19,ACTIVE,177.93,885.26,366.23,325.47
S07,W0003,2025-11-20,ACTIVE,174.8,783.34,360.22,305.36
S07,W0003,2025-11-21,ACTIVE,184.49,905.34,380.66,335.38
S07,W0003,2025-11-22,ACTIVE,171.48,887.31,354.26,319.37
S07,W0003,2025-11-23,ACTIVE,178.3,945.9,368.82,335.95
S07,W0003,2025-11-24,ACTIVE,178.34,894.27,369.36,327.39
S07,W0003,2025-11-25,ACTIVE,161.31,891.42,334.51,309.88
S07,W0003,2025-11-26,ACTIVE,185.17,797.7,384.47,318.12
S07,W0003,2025-11-27,ACTIVE,187.43,826.31,389.64,325.15
