Site Code,Well ID,Datetime,Status,Oil (bbl),Gas (mcf),Water (bbl),BOE (bbl)
S06,W0015,2025-08-27,ACTIVE,82.95,407.97,470.05,150.95
S06,W0015,2025-08-28,ACTIVE,84.65,395.24,481.24,150.52
S06,W0015,2025-08-29,ACTIVE,75.58,387.68,431.09,140.19
S06,W0015,2025-08-30,ACTIVE,84.02,390.81,480.76,149.16
S06,W0015,2025-08-31,ACTIVE,77.44,414.32,444.54,146.49
S06,W0015,2025-09-01,ACTIVE,80.97,373.01,466.35,143.14
S06,W0015,2025-09-02,ACTIVE,73.05,405.92,422.07,140.7
S06,W0015,2025-09-03,ACTIVE,76.79,416.71,445.15,146.24
S06,W0015,2025-09-04,ACTIVE,75.62,428.56,439.82,147.05
S06,W0015,2025-09-05,ACTIVE,83.6,461.18,487.79,160.46
S06,W0015,2025-09-06,ACTIVE,82.54,376.53,483.21,145.3
S06,W0015,2025-09-07,ACTIVE,81.47,380.89,478.52,144.95
S06,W0015,2025-09-08,ACTIVE,84.8,411.86,499.73,153.44
S06,W0015,2025-09-09,ACTIVE,80.86,357.07,478.09,140.37
S06,W0015,2025-09-10,ACTIVE,75.4,412.49,470.96,144.15
S06,W0015,2025-09-11,ACTIVE,75.72,423.93,450.74,146.38
S06,W0015,2025-09-12,ACTIVE,88.67,382.5,529.54,152.42
S06,W0015,2025-09-13,ACTIVE,76.74,367.48,459.87,137.99
S06,W0015,2025-09-14,ACTIVE,71.74,376.74,431.32,134.53
S06,W0015,2025-09-15,ACTIVE,76.23,360.73,459.86,136.35
S06,W0015,2025-09-16,ACTIVE,70.14,355.06,424.56,129.32
S06,W0015,2025-09-17,ACTIVE,77.06,387.94,468.04,141.72
S06,W0015,2025-09-18,ACTIVE,73.28,374.56,446.6,135.71
S06,W0015,2025-09-19,ACTIVE,73.98,410.69,452.4,142.43
S06,W0015,2025-09-20,ACTIVE,76.3,368.91,468.17,137.79
S06,W0015,2025-09-21,ACTIVE,76.72,383.43,472.33,140.63
S06,W0015,2025-09-22,ACTIVE,82.46,403.84,509.4,149.77
S06,W0015,2025-09-23,ACTIVE,72.33,397.23,448.36,138.54
S06,W0015,2025-09-24,ACTIVE,72.24,413.91,449.35,141.23
S06,W0015,2025-09-25,ACTIVE,70.65,383.81,441.02,134.62
S06,W0015,2025-09-26,ACTIVE,81.37,357.79,509.68,141
S06,W0015,2025-09-27,ACTIVE,70.04,367.96,440.22,131.37
S06,W0015,2025-09-28,ACTIVE,73.9,352.46,466.1,132.64
S06,W0015,2025-09-29,ACTIVE,77.34,394.32,489.52,143.06
S06,W0015,2025-09-30,ACTIVE,75.79,342.62,481.38,132.89
S06,W0015,2025-10-01,ACTIVE,70.91,370.12,451.99,132.6
S06,W0015,2025-10-02,ACTIVE,80.7,381.67,516.2,144.31
S06,W0015,2025-10-03,ACTIVE,84.4,330.21,541.72,139.44
S06,W0015,2025-10-04,ACTIVE,76.21,423.96,490.88,146.87
S06,W0015,2025-10-05,ACTIVE,75.73,379.39,489.52,138.96
S06,W0015,2025-10-06,ACTIVE,68.34,410.15,443.33,136.7
S06,W0015,2025-10-08,ACTIVE,71.08,324.92,464.38,125.23
S06,W0015,2025-10-10,ACTIVE,79.1,383.09,520.48,142.95
S06,W0015,2025-10-11,ACTIVE,84.28,406.01,556.57,151.95
S06,W0015,2025-10-12,ACTIVE,76.24,393.27,505.34,141.79
S06,W0015,2025-10-14,ACTIVE,72.65,431.78,485.02,144.61
S06,W0015,2025-10-15,ACTIVE,74.37,347.8,498.33,132.34
S06,W0015,2025-10-16,ACTIVE,67.7,343.24,455.28,124.91
S06,W0015,2025-10-17,ACTIVE,70.41,344.93,475.23,127.9
S06,W0015,2025-10-18,ACTIVE,74.82,351.51,506.85,133.41
S06,W0015,2025-10-19,ACTIVE,77.17,372.33,524.69,139.23
S06,W0015,2025-10-20,ACTIVE,65.82,341.71,449.14,122.77
S06,W0015,2025-10-21,ACTIVE,71.27,387.55,488.16,135.86
S06,W0015,2025-10-22,ACTIVE,73.8,347.51,507.35,131.72
S06,W0015,2025-10-23,ACTIVE,73.42,370.56,506.63,135.18
S06,W0015,2025-10-24,ACTIVE,77.3,402.86,535.36,144.44
S06,W0015,2025-10-25,ACTIVE,76.15,336.83,529.39,132.29
S06,W0015,2025-10-26,ACTIVE,70.57,340.43,492.43,127.31
S06,W0015,2025-10-27,ACTIVE,65.93,374.34,461.81,128.32
S06,W0015,2025-10-29,ACTIVE,70.4,341.73,496.87,127.36
S06,W0015,2025-10-30,ACTIVE,66.23,369.36,469.16,127.79
S06,W0015,2025-10-31,ACTIVE,81.74,387.16,581.24,146.27
S06,W0015,2025-11-01,ACTIVE,70.89,373.28,506.04,133.1
S06,W0015,2025-11-02,ACTIVE,65.66,318.16,470.49,118.69
S06,W0015,2025-11-03,ACTIVE,64.62,340.9,464.82,121.44
S06,W0015,2025-11-04,ACTIVE,77.53,354.03,559.86,136.54
S06,W0015,2025-11-05,ACTIVE,75.23,355.64,545.31,134.5
S06,W0015,2025-11-06,ACTIVE,73.47,321.8,534.64,127.1
S06,W0015,2025-11-07,ACTIVE,68.03,393.09,496.96,133.55
S06,W0015,2025-11-08,ACTIVE,74.42,370.97,545.76,136.25
S06,W0015,2025-11-09,ACTIVE,66.55,353.84,489.94,125.52
S06,W0015,2025-11-10,ACTIVE,73.28,358.33,541.58,133
S06,W0015,2025-11-12,ACTIVE,74.37,390.5,553.98,139.45
S06,W0015,2025-11-13,ACTIVE,70.72,350.83,528.9,129.19
S06,W0015,2025-11-14,ACTIVE,67.7,299.46,508.32,117.61
S06,W0015,2025-11-15,ACTIVE,63.58,314.71,479.25,116.03
S06,W0015,2025-11-16,ACTIVE,69.63,346.62,526.94,127.4
S06,W0015,2025-11-17,ACTIVE,72.49,327.33,550.83,127.04
S06,W0015,2025-11-18,ACTIVE,61.93,387.32,472.42,126.48
S06,W0015,2025-11-19,ACTIVE,72.93,349.21,558.6,131.13
S06,W0015,2025-11-20,ACTIVE,66.18,352.11,508.98,124.87
S06,W0015,2025-11-21,ACTIVE,66.75,360.8,515.42,126.88
S06,W0015,2025-11-22,ACTIVE,63.74,368.42,494.19,125.14
S06,W0015,2025-11-23,ACTIVE,66.72,322.56,519.35,120.48
S06,W0015,2025-11-24,ACTIVE,68.76,366.52,537.42,129.85
S06,W0015,2025-11-25,ACTIVE,72.41,293.09,568.29,121.26
S06,W0015,2025-11-26,ACTIVE,68.99,322.54,543.71,122.75
S06,W0015,2025-11-27,ACTIVE,60.67,328.03,480.12,115.34
S06,W0015,2025-11-28,ACTIVE,68.39,335.19,543.4,124.26
S06,W0015,2025-11-29,ACTIVE,72.69,353.33,579.97,131.58
S06,W0015,2025-11-30,ACTIVE,69.5,306.91,556.88,120.65
S06,W0015,2025-12-01,ACTIVE,64.08,309.8,515.54,115.71
S06,W0015,2025-12-02,ACTIVE,69,322.98,557.53,122.83
S06,W0015,2025-12-03,ACTIVE,65.88,401.11,534.54,132.73
S06,W0015,2025-12-04,ACTIVE,65.62,325.78,534.68,119.92
S06,W0015,2025-12-05,ACTIVE,70.82,315.37,579.48,123.38
S06,W0015,2025-12-06,ACTIVE,68.97,343.29,566.74,126.19
S06,W0015,2025-12-07,ACTIVE,69.64,341.25,574.69,126.52
S06,W0015,2025-12-08,ACTIVE,76.23,357.14,631.77,135.75
S06,W0015,2025-12-09,ACTIVE,69.18,358.14,575.81,128.87
S06,W0015,2025-12-10,ACTIVE,68.01,352.49,568.49,126.76
S06,W0015,2025-12-11,ACTIVE,60.34,364.42,506.54,121.08
S06,W0015,2025-12-12,ACTIVE,62.48,308.64,526.78,113.92
S06,W0015,2025-12-13,ACTIVE,67.59,288.21,572.38,115.63
S06,W0015,2025-12-14,ACTIVE,62.56,301.85,532.08,112.87
S06,W0015,2025-12-15,ACTIVE,62.9,319.78,537.37,116.2
S06,W0015,2025-12-16,ACTIVE,71.6,346.75,614.3,129.39
S06,W0015,2025-12-17,ACTIVE,65.49,301.52,564.4,115.74
S06,W0015,2025-12-18,ACTIVE,64.5,309.48,558.32,116.08
S06,W0015,2025-12-19,ACTIVE,61.37,348.64,533.58,119.48
S06,W0015,2025-12-20,ACTIVE,67.82,333.7,592.25,123.44
S06,W0015,2025-12-22,ACTIVE,63.95,305.95,563.55,114.94
S06,W0015,2025-12-23,ACTIVE,66.03,313.78,584.46,118.33
S06,W0015,2025-12-24,ACTIVE,64.76,322.18,575.82,118.46
S06,W0015,2025-12-25,ACTIVE,66.02,369.1,589.72,127.54
S06,W0015,2025-12-26,ACTIVE,70.75,338.38,634.81,127.15
S06,W0015,2025-12-27,ACTIVE,63.03,325.06,568.1,117.21
S06,W0015,2025-12-28,ACTIVE,60.33,275.46,546.32,106.24
S06,W0015,2025-12-30,ACTIVE,62.14,313.48,567.9,114.39
S06,W0015,2025-12-31,ACTIVE,61.53,294.06,564.96,110.54
S06,W0015,2026-01-01,ACTIVE,61.66,323.75,568.78,115.62
