Site Code,Well ID,Datetime,Status,Oil (bbl),Gas (mcf),Water (bbl),BOE (bbl)
S02,W0009,2025-08-27,ACTIVE,165.92,845.05,387.16,306.76
S02,W0009,2025-08-28,ACTIVE,155.14,846.26,362.57,296.18
S02,W0009,2025-08-29,ACTIVE,163.96,861.28,383.76,307.51
S02,W0009,2025-08-30,ACTIVE,183.07,783.46,429.18,313.65
S02,W0009,2025-08-31,ACTIVE,167.12,824.64,392.4,304.56
S02,W0009,2025-09-01,ACTIVE,172.67,924.48,406.07,326.75
S02,W0009,2025-09-02,ACTIVE,156.77,762.8,369.27,283.9
S02,W0009,2025-09-03,ACTIVE,170.77,836.51,402.87,310.19
S02,W0009,2025-09-04,ACTIVE,167.43,828.27,395.6,305.48
S02,W0009,2025-09-05,ACTIVE,180.22,879.66,426.5,326.83
S02,W0009,2025-09-06,ACTIVE,183.55,827.64,435.06,321.49
S02,W0009,2025-09-07,ACTIVE,163.21,805.37,387.45,297.44
S02,W0009,2025-09-08,ACTIVE,160.84,832.84,382.43,299.65
S02,W0009,2025-09-09,ACTIVE,168.29,780.06,400.79,298.3
S02,W0009,2025-09-10,ACTIVE,163.7,780.12,390.46,293.72
S02,W0009,2025-09-11,ACTIVE,153.88,812.9,367.62,289.36
S02,W0009,2025-09-13,ACTIVE,146.65,801.6,351.46,280.25
S02,W0009,2025-09-14,ACTIVE,157.71,857.31,378.57,300.6
S02,W0009,2025-09-15,ACTIVE,150.84,835.35,362.65,290.07
S02,W0009,2025-09-16,ACTIVE,164.6,790.55,396.38,296.36
S02,W0009,2025-09-17,ACTIVE,155.08,826.82,374.04,292.88
S02,W0009,2025-09-19,ACTIVE,159.53,767.1,385.98,287.38
S02,W0009,2025-09-20,ACTIVE,149.55,819.98,362.4,286.21
S02,W0009,2025-09-21,ACTIVE,153.33,789.94,372.18,284.99
S02,W0009,2025-09-22,ACTIVE,164.82,830.88,400.7,303.3
S02,W0009,2025-09-23,ACTIVE,175.84,680.47,428.16,289.25
S02,W0009,2025-09-24,ACTIVE,168.33,859.37,410.53,311.56
S02,W0009,2025-09-25,ACTIVE,151.89,826.63,371.02,289.66
S02,W0009,2025-09-26,ACTIVE,143.46,753.14,351.01,268.98
S02,W0009,2025-09-27,ACTIVE,161.75,804.57,396.4,295.85
S02,W0009,2025-09-28,ACTIVE,147.97,788.28,363.21,279.35
S02,W0009,2025-09-29,ACTIVE,158.6,848.16,389.9,299.96
S02,W0009,2025-09-30,ACTIVE,169.27,816.65,416.8,305.38
S02,W0009,2025-10-01,ACTIVE,148.08,809.02,365.21,282.92
S02,W0009,2025-10-02,ACTIVE,155.75,822.57,384.73,292.85
S02,W0009,2025-10-05,ACTIVE,172.23,782.24,427.5,302.6
S02,W0009,2025-10-06,ACTIVE,165.95,860.68,412.58,309.4
S02,W0009,2025-10-07,ACTIVE,158.05,748.64,393.57,282.82
S02,W0009,2025-10-08,ACTIVE,145.04,841.27,361.76,285.25
S02,W0009,2025-10-09,ACTIVE,149.8,823.89,374.24,287.12
S02,W0009,2025-10-10,ACTIVE,152.89,859.88,382.57,296.2
